pincode,city,koo,sta,state,ko,ui,cou,lt,lon,ui
134437,Yarada,4017,AP,"Andhra Pradesh",101,IN,India,17.65872000,83.27419000,Q564781
57645,Along,4024,AR,"Arunachal Pradesh",101,IN,India,28.16951000,94.80060000,Q519770
57708,Anjaw,4024,AR,"Arunachal Pradesh",101,IN,India,28.06549000,96.82878000,Q15413
58151,Basar,4024,AR,"Arunachal Pradesh",101,IN,India,27.99008000,94.69451000,Q712428
58080,Bomdila,4024,AR,"Arunachal Pradesh",101,IN,India,27.26475000,92.42472000,Q859141
58196,Changlang,4024,AR,"Arunachal Pradesh",101,IN,India,27.36265000,96.34518000,Q15427
131763,"Dibang Valley",4024,AR,"Arunachal Pradesh",101,IN,India,28.70000000,95.70000000,Q42479
131826,"East Kameng",4024,AR,"Arunachal Pradesh",101,IN,India,27.30000000,93.05000000,Q15424
131828,"East Siang",4024,AR,"Arunachal Pradesh",101,IN,India,28.12379000,95.16339000,Q1945304
132090,Hayuliang,4024,AR,"Arunachal Pradesh",101,IN,India,28.07301000,96.54305000,Q18348790
132178,Itanagar,4024,AR,"Arunachal Pradesh",101,IN,India,27.08694000,93.60987000,Q41128
132499,Khonsa,4024,AR,"Arunachal Pradesh",101,IN,India,27.01667000,95.56667000,Q2231406
132663,"Kurung Kumey",4024,AR,"Arunachal Pradesh",101,IN,India,27.99983000,93.39240000,Q2449506
132769,"Lohit District",4024,AR,"Arunachal Pradesh",101,IN,India,27.84012000,96.19521000,Q15438
132779,"Lower Dibang Valley",4024,AR,"Arunachal Pradesh",101,IN,India,28.37258000,95.88040000,Q2373368
132780,"Lower Subansiri",4024,AR,"Arunachal Pradesh",101,IN,India,27.62554000,93.93908000,Q15436
132934,Margherita,4024,AR,"Arunachal Pradesh",101,IN,India,27.28482000,95.66796000,Q1924981
133121,Naharlagun,4024,AR,"Arunachal Pradesh",101,IN,India,27.10467000,93.69518000,Q2576091
133551,Pasighat,4024,AR,"Arunachal Pradesh",101,IN,India,28.06631000,95.32678000,Q1936930
134120,Tawang,4024,AR,"Arunachal Pradesh",101,IN,India,27.57417000,91.92437000,Q1006270
134135,Tezu,4024,AR,"Arunachal Pradesh",101,IN,India,27.91256000,96.12882000,Q13221
134199,Tirap,4024,AR,"Arunachal Pradesh",101,IN,India,27.01917000,95.51788000,Q15448
134288,"Upper Siang",4024,AR,"Arunachal Pradesh",101,IN,India,28.83355000,94.91806000,Q15465
134289,"Upper Subansiri",4024,AR,"Arunachal Pradesh",101,IN,India,28.30000000,94.00000000,Q15464
134409,"West Kameng",4024,AR,"Arunachal Pradesh",101,IN,India,27.40000000,92.35000000,Q15459
